Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3963621,14.98744939,17.13384391,17.51090238,15.54831388,13.17595453,13.05406907,13.24162087,14.89220981,15.59650825,16.29746113,17.65586324,17.47955029,16.18234888,13.04303599,11.546062,12.36644833,10.07606346,10.74966244,10.7994982,12.46882309,12.71382235,12.39482333,11.35816806,11.37203709,,,,
Africa Eastern and Southern,AFE,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,28.56400701,29.62951843,28.32394763,26.02740679,27.61721143,28.70373334,28.86366479,28.72770445,28.44397809,27.03781778,29.27347502,27.84606302,27.97915849,27.497536,27.33508717,26.5207122,25.91430449,25.74445425,26.74287404,26.78816478,27.38715729,26.64415992,26.93538182,27.87331696,27.9715246,29.15698493,30.59716902,26.69911666,27.64215903,28.77471266,28.56629471,27.82041291,27.16260248,25.19119037,24.99875918,25.85592501,27.84365536,26.37879207,25.37362175,25.97319384,26.79521866,25.50256796
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.81012701,22.71086418,26.22678975,26.81209923,28.21076807,26.88224161,26.915628,21.89712221,21.1514207,22.74025248,21.15780715,20.44460531,21.22966322,22.12404249,10.46680769,10.051874,13.38724696,14.05811237,12.9525996,14.27365702,16.05036772,
Africa Western and Central,AFW,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,38.20277445,33.88226311,31.49104691,27.61988731,28.86454314,30.89670111,30.24941253,29.12466774,30.82108016,32.26813725,32.72542234,32.17745073,30.81746987,31.5197657,35.76733372,36.41318662,34.94445053,29.30849676,27.9007101,31.86124483,27.94055251,25.23267585,27.30452473,29.07774816,29.47421806,28.0575703,26.92223215,27.97314821,24.47680174,27.20866644,30.18820078,29.56592873,28.6389505,27.24847384,22.97159992,21.46277753,24.34431523,26.63204845,27.49849953,27.2115615,29.47685582,30.29146737,30.28938226
Angola,AGO,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.28517579,67.82067594,60.75774139,55.1572893,72.71737231,72.12295494,64.88381154,56.07579654,53.11699779,54.62993328,60.40199346,58.10933117,61.88353785,60.2548204,44.05637413,52.36843758,56.02651389,56.91821896,53.36285218,46.20332557,41.93309219,42.64356787,42.16795377,47.93154185,49.76092161,45.67824234,47.52440955,45.17760196,45.31724987
Albania,ALB,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.37384069,18.10976567,15.34683823,16.53674306,19.39568914,21.73577378,23.1063696,24.05560851,24.66556227,25.08160659,25.30802592,25.34033192,25.16101033,24.41377839,24.93746193,24.48447822,22.91855334,23.06131685,21.50884574,21.763681,21.14196535,20.35840836,21.27941019,20.61965488,20.1145302,20.74698491,21.39440615,21.15616434
Andorra,AND,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84375504,14.92401761,15.06728909,15.49493665,15.78035401,16.03578288,16.16729519,15.47353148,15.43276711,14.76648871,13.12564606,11.90885311,11.07157967,10.61824715,10.1535313,9.981268716,10.14077941,10.39551767,11.07633372,11.69981763,12.66015827,12.36570615,11.14537582,11.41406817
Arab World,ARB,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,55.49464662,57.09295136,55.37282971,51.65890528,57.46807672,63.00119655,61.04817119,52.46248668,45.07310276,43.05095747,39.92150943,34.71975537,35.90741467,36.38551284,38.30896904,57.51034311,40.29947758,43.51329763,40.72451721,40.50986071,42.82549486,44.10817437,44.8477039,39.84661864,43.75932269,50.04237193,46.79247702,46.82347463,47.44437574,49.65674065,53.45620244,54.67798434,53.47323669,56.18702717,47.70726132,50.24800178,53.62954663,54.4188573,52.23804993,49.73250184,40.56559809,38.2518294,40.91629565,44.69339043,42.54524951,37.76936479,42.69235901,49.50141686,
United Arab Emirates,ARE,"Industry (including construction), value added (% of GDP)",,,,,,,,,,,,,,,,73.99550701,71.81472265,67.98170619,68.05879988,71.35555238,72.66360633,68.36330707,63.15205198,61.40417868,62.81071431,61.25214684,52.15437335,54.68110115,53.01423765,55.07692921,58.90235057,46.77830149,55.29802322,51.47992165,46.26037509,45.54517392,46.36700237,45.4284115,40.02353246,42.02066257,48.51701163,49.67634129,47.54574758,49.12101292,51.67834808,55.6434763,57.90311172,54.84022859,58.01797844,52.044956,51.67845948,57.07712068,56.56806174,54.20381498,51.98971367,43.35424493,41.02857173,42.52803476,46.91895759,44.52451604,42.17404307,47.13932402,51.46446358,
Argentina,ARG,"Industry (including construction), value added (% of GDP)",,,,,,48.41447642,49.60581466,47.38341438,47.03606529,47.3861283,42.27878963,45.95472845,45.58164895,43.35223993,43.59280262,50.14132368,50.89369683,47.80613219,46.09764801,44.0281238,41.21966567,40.33822671,41.10284864,41.55630651,39.70818793,39.27615457,37.38043489,37.82867527,38.48661108,42.34781307,36.02188135,32.72252826,30.6839549,27.33873965,26.75455869,26.30121034,26.59256064,27.17915089,26.71213576,26.1936305,25.99083601,25.24343398,30.55773709,32.6450991,28.81692201,28.62631404,29.20327967,27.41523613,26.27245994,25.2842048,25.25877626,25.21269761,24.42905706,24.00588144,24.27739449,23.15305614,22.05410721,21.78212322,23.71959233,23.15784774,22.40887637,23.9172428,24.16370489,25.06638758
