country_code,year,oecd_eps,annual_transport_trends,electoral_democracy_index
AUS,1993,0.75,210810,0.892
AUS,1994,0.5,216147,0.891
AUS,1995,0.5,222866,0.891
AUS,1996,0.45833331346512,226008,0.889
AUS,1997,0.45833331346512,227677,0.885
AUS,1998,0.77083337306976,229896,0.886
AUS,1999,1.0208333730698,235270,0.886
AUS,2000,0.97916662693024,239809,0.887
AUS,2001,1.0874999761581,237162,0.885
AUS,2002,1.2124999761581,243167,0.88
AUS,2003,1.2124999761581,249454,0.88
AUS,2004,1.1708333492279,261374,0.88
AUS,2005,1.5458333492279,262063,0.877
AUS,2006,2.0083332061768,257211,0.877
AUS,2007,2.0083332061768,260425,0.88
AUS,2008,2.2583332061768,261871,0.888
AUS,2009,2.6875,260704,0.888
AUS,2010,2.5041666030884,262203,0.897
AUS,2011,3.3375000953674,264727,0.902
AUS,2012,3.7208333015442,266908,0.902
AUS,2013,4.0708332061768,272322,0.86
AUS,2014,2.6708333492279,276500,0.85
AUS,2015,3.1708333492279,279583,0.866
BEL,1993,0.77083331346512,86854,0.876
BEL,1994,0.77083331346512,89477,0.876
BEL,1995,0.77083331346512,91158,0.881
BEL,1996,0.77083331346512,92416,0.882
BEL,1997,0.77083331346512,94033,0.882
BEL,1998,0.77083331346512,99280,0.882
BEL,1999,0.77083331346512,102830,0.883
BEL,2000,0.85416668653488,106130,0.885
BEL,2001,1.1041666269302,108000,0.885
BEL,2002,1.2124999761581,109420,0.885
BEL,2003,1.1708333492279,108380,0.886
BEL,2004,1.9833333492279,109690,0.864
BEL,2005,2.4458332061768,109420,0.881
BEL,2006,2.4041666984558,109920,0.886
BEL,2007,2.2041666507721,112080,0.892
BEL,2008,2.3375000953674,113010,0.898
BEL,2009,2.5750000476837,113430,0.898
BEL,2010,2.5999999046326,109388,0.898
BEL,2011,2.5333333015442,109970,0.898
BEL,2012,2.4666666984558,110141,0.898
CAN,1995,0.5,466000,0.839
CAN,1996,0.45833331346512,467200,0.844
CAN,1997,0.64583331346512,468400,0.842
CAN,1998,0.64583331346512,469600,0.84
CAN,1999,0.64583331346512,470800,0.84
CAN,2000,0.89583331346512,472000,0.84
CAN,2001,0.89583331346512,458000,0.837
CAN,2002,0.89583331346512,470000,0.831
CAN,2003,1.5833333730698,463000,0.831
CAN,2004,1.5833333730698,468000,0.83
CAN,2005,1.5416666269302,494000,0.828
CAN,2006,2.1666667461395,493000,0.836
CAN,2007,3.2708334922791,488000,0.838
CAN,2008,3.3125,477000,0.835
CAN,2009,3.8541665077209,493000,0.835
CZE,1993,0.54166662693024,51680,0.898
CZE,1994,0.54166662693024,51710,0.898
CZE,1995,0.72916662693024,54510,0.898
CZE,1996,0.72916662693024,56140,0.897
CZE,1997,0.6875,56730,0.897
CZE,1998,0.6875,59780,0.888
CZE,1999,0.6875,62400,0.88
CZE,2000,0.83333337306976,63940,0.88
CZE,2001,0.83333337306976,63470,0.88
CZE,2002,1.5833333730698,65290,0.888
CZE,2003,1.5833333730698,67360,0.895
CZE,2004,1.625,67570,0.897
CZE,2005,2.0458333492279,68640,0.897
CZE,2006,2.8791666030884,69630,0.901
CZE,2007,2.5458333492279,71540,0.902
CZE,2008,2.7208333015442,72380,0.902
CZE,2009,2.8916666507721,72290,0.895
CZE,2010,2.8916666507721,63570,0.888
CZE,2011,2.3666667938232,65490,0.897
CZE,2012,2.3833332061768,64260,0.897
DNK,1993,2.2291667461395,53127,0.908
DNK,1994,2.2291667461395,53365,0.908
DNK,1995,1.9791667461395,54008,0.908
DNK,1996,1.9791667461395,54827,0.908
DNK,1997,1.9791667461395,55782,0.908
DNK,1998,2.5625,56399,0.907
DNK,1999,2.3958334922791,57613,0.906
DNK,2000,2.6041665077209,56776,0.906
DNK,2001,2.7374999523163,56059,0.907
DNK,2002,2.1124999523163,56181,0.909
DNK,2003,2.0916666984558,56749,0.909
DNK,2004,2.5916666984558,58152,0.909
DNK,2005,3.1291666030884,58348,0.919
DNK,2006,3.1624999046326,59137,0.921
DNK,2007,2.8291666507721,60958,0.92
DNK,2008,2.9625000953674,61009,0.919
DNK,2009,4.0749998092651,60455,0.919
DNK,2010,4.0250000953674,59759,0.919
DNK,2011,3.9833333492279,59759,0.919
DNK,2012,3.8499999046326,60190,0.922
FIN,1993,1.3125,49700,0.87
FIN,1994,1.2708333730698,49600,0.871
FIN,1995,1.2708333730698,50000,0.873
FIN,1996,1.5208333730698,50400,0.873
FIN,1997,1.7708333730698,51900,0.873
FIN,1998,1.5208333730698,53300,0.873
FIN,1999,1.5208333730698,54900,0.875
FIN,2000,1.6041666269302,55700,0.875
FIN,2001,1.3541666269302,57000,0.875
FIN,2002,1.9791666269302,58300,0.875
FIN,2003,2.4791667461395,59590,0.875
FIN,2004,2.4791667461395,60940,0.875
FIN,2005,2.4416666030884,61910,0.875
FIN,2006,3.1500000953674,62455,0.884
FIN,2007,2.8166666030884,63785,0.884
FIN,2008,3.0833332538605,63400,0.884
FIN,2009,3.2541666030884,64330,0.884
FIN,2010,3.2125000953674,64745,0.884
FIN,2011,3.4791667461395,65490,0.885
FIN,2012,3.4291667938232,65270,0.885
FRA,1993,0.77083331346512,625816,0.877
FRA,1994,0.8125,634602,0.877
FRA,1995,0.8125,646887,0.875
FRA,1996,1.2291667461395,649640,0.881
FRA,1997,1.1458332538605,660331,0.878
FRA,1998,1.2291667461395,680717,0.876
FRA,1999,1.3125,698153,0.876
FRA,2000,1.3958332538605,697553,0.876
FRA,2001,1.5625,722896,0.876
FRA,2002,1.5625,728658,0.878
FRA,2003,1.5625,730109,0.879
FRA,2004,2.125,727399,0.879
FRA,2005,2.7125000953674,717234,0.879
FRA,2006,3.2791666984558,713482,0.879
FRA,2007,2.8624999523163,718095,0.882
FRA,2008,2.8958334922791,703049,0.889
FRA,2009,3.6916666030884,704048,0.889
FRA,2010,3.1500000953674,709789,0.889
FRA,2011,3.7000000476837,709827,0.89
FRA,2012,3.5666666030884,800788,0.893
FRA,2013,3.5,799766,0.894
FRA,2014,3.5416665077209,807354,0.895
FRA,2015,3.5833334922791,817042,0.895
DEU,1993,1.9375,729500,0.893
DEU,1994,1.8958332538605,807000,0.894
DEU,1995,1.8125,815300,0.896
DEU,1996,1.8541667461395,816100,0.896
DEU,1997,1.9375,817100,0.896
DEU,1998,1.9791667461395,828100,0.897
DEU,1999,1.9791667461395,848400,0.897
DEU,2000,2.0625,831300,0.897
DEU,2001,2.0625,852600,0.897
DEU,2002,2.5416667461395,863000,0.897
DEU,2003,2.5416667461395,857700,0.897
DEU,2004,2.6666665077209,868700,0.897
DEU,2005,3.0458333492279,856900,0.897
DEU,2006,3.0041666030884,863300,0.907
DEU,2007,2.6708333492279,866500,0.907
DEU,2008,2.6375000476837,871300,0.907
DEU,2009,3.0583333969116,881100,0.902
DEU,2010,3.0166666507721,884800,0.9
DEU,2011,3.1416666507721,894400,0.904
DEU,2012,2.9249999523163,896300,0.903
DEU,2013,3.1083333492279,903100,0.899
DEU,2014,3.0666666030884,916400,0.892
DEU,2015,3.1333332061768,927000,0.89
GRC,1993,1.0208333730698,21656,0.885
GRC,1994,1.4791667461395,24237,0.888
GRC,1995,1.7291667461395,25781,0.888
GRC,1996,1.6875,28395,0.887
GRC,1997,1.6875,30102,0.886
GRC,1998,1.6875,32089,0.886
GRC,1999,1.6875,34130,0.886
GRC,2000,1.5208332538605,34458,0.885
GRC,2001,1.5208332538605,35071,0.893
GRC,2002,1.7708332538605,35821,0.893
GRC,2003,1.7708332538605,35972,0.893
GRC,2004,1.7291667461395,36403,0.893
GRC,2005,1.8375000953674,36258,0.893
GRC,2006,1.8375000953674,36240,0.893
GRC,2007,1.9208333492279,36324,0.898
GRC,2008,1.8291666507721,35895,0.902
HUN,1993,0.52083331346512,44000,0.845
HUN,1994,0.52083331346512,44900,0.846
HUN,1995,0.52083331346512,45400,0.847
HUN,1996,0.52083331346512,45600,0.847
HUN,1997,0.52083331346512,46100,0.847
HUN,1998,0.5625,46150,0.847
HUN,1999,0.52083331346512,46170,0.848
HUN,2000,0.85416668653488,46180,0.848
