country,country_code,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
Australia,AUS,8.5,8.8,8.7,8.7,8.7,8.6,8.7,8.8,8.8,8.8,8.6,8.5,8.3,8.7,8.7,8.86,8.8,8.8
Belgium,BEL,7.5,7.5,7.1,7.1,7.3,7.1,7.3,7.4,7.5,7.6,7.1,6.6,6.1,5.3,5.4,5.25,5.25,5.25
Czech Republic,CZE,4.9,4.4,4.6,4.9,5.2,5.2,4.8,4.3,4.2,9.5,3.7,3.9,4.3,4.6,4.8,5.2,5.2,5.2
Denmark,DNK,9,9.4,9.3,9.3,9.3,9.4,9.5,9.5,9.5,3.3,9.5,9.5,9.8,10,10,9.94,9.32,9.32
Finland,FIN,9,9.4,9.2,8.9,9,9.4,9.6,9.6,9.7,9.7,9.7,9.9,10,9.8,9.6,9.48,9.12,9.12
France,FRA,7.1,7,6.8,6.9,6.9,7.3,7.4,7.5,7.1,6.9,6.3,6.7,6.7,6.6,6.7,6.66,7,7
Germany,DEU,7.9,8,7.9,8,7.9,7.8,8,8.2,8.2,7.7,7.3,7.4,7.6,8,7.9,8.23,8.14,8.14
Hungary,HUN,5.5,4.6,4.7,5.1,5.1,5.3,5.2,5,4.8,4.8,4.9,5.3,5.2,5.2,5,5.18,4.12,4.12
Italy,ITA,4.2,3.9,3.9,4.3,4.8,5.2,4.9,5,4.8,5.3,5.2,5.5,4.6,4.7,4.6,5.03,2.99,2.99
Japan,JPN,7.4,8,7.8,7.7,7.3,7.5,7.6,7.3,6.9,7,7.1,7.1,6.4,6,5.8,6.57,6.72,6.72
Norway,NOR,8.5,9,8.6,8.6,7.9,8.7,8.8,8.9,8.9,8.8,8.5,8.6,9.1,8.9,9,8.92,8.61,8.61
Poland,POL,5.8,5.5,5.3,5,4.6,4.2,3.7,3.4,3.5,3.6,4,4.1,4.1,4.2,4.6,5.08,5.08,5.08
Slovakia,SVK,4.6,4,4.3,4.5,5,4.9,4.7,4.3,4,3.7,3.7,3.7,3.5,3.7,3.9,3.9,3.9,3.9
Spain,ESP,6.5,6.2,6.1,6.1,6.5,6.7,6.8,7,7.1,6.9,7.1,7,7,6.6,6.1,5.9,4.35,4.35
Sweden,SWE,8.8,9.3,9.2,9.2,9.3,9.3,9.2,9.2,9.2,9.3,9.3,9,9.4,9.4,9.5,9.35,8.87,8.87
Switzerland,CHE,8.6,8.8,8.7,9,9,9,9.1,9.1,9.1,8.8,8.5,8.4,8.6,8.9,8.9,8.61,8.76,8.76
United Kingdom,GBR,7.4,7.8,7.6,7.7,7.7,8.4,8.6,8.6,8.6,8.7,8.7,8.3,8.7,8.6,8.7,8.22,8.57,8.57
United States,USA,7.3,7.1,7.1,7.5,7.3,7.2,7.3,7.6,7.5,7.5,7.7,7.6,7.8,7.6,7.5,7.61,7.79,7.79
