DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2000,38,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2001,44,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2002,49,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2013,118,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2014,131,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2015,140,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2016,151,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2017,145,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2018,161,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2019,176,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2020,191,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2021,212,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2022,232,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Albania,2023,253,s
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1990,388,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1991,397,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1992,412,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1993,425,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1994,438,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1995,452,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1996,463,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1997,475,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1998,487,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,1999,501,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2000,511,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2001,519,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2002,492,b
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2003,498,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2004,501,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2005,504,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2006,508,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2007,511,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2008,514,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2009,522,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2010,530,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2011,537,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2012,542,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2013,546,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2014,547,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2015,546,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2016,550,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2017,555,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2018,562,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2019,566,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2020,570,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2021,572,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2022,566,
ESTAT:ROAD_EQS_CARHAB(1.0),26/11/24 23:00:00,Annual,Number,Austria,2023,566,
