country_code,year,oecd_eps,annual_transport_trends,electoral_democracy_index,total_population,transport_trend_per_person
AUS,1993,0.75,210810000000,0.892,17722911.0,11894.772816948638
AUS,1994,0.5,216147000000,0.891,17897433.0,12076.983330514493
AUS,1995,0.5,222866000000,0.891,18095344.0,12316.20686514719
AUS,1996,0.45833331346512,226008000000,0.889,18305307.0,12346.583425232911
AUS,1997,0.45833331346512,227677000000,0.885,18504912.0,12303.598093306253
AUS,1998,0.77083337306976,229896000000,0.886,18701717.0,12292.775043061554
AUS,1999,1.0208333730698,235270000000,0.886,18909981.0,12441.577810152216
AUS,2000,0.97916662693024,239809000000,0.887,19132471.0,12534.136338165625
AUS,2001,1.0874999761581,237162000000,0.885,19365433.0,12246.666521734887
AUS,2002,1.2124999761581,243167000000,0.88,19595355.0,12409.42049786799
AUS,2003,1.2124999761581,249454000000,0.88,19819454.0,12586.320490968117
AUS,2004,1.1708333492279,261374000000,0.88,20046677.0,13038.270632085309
AUS,2005,1.5458333492279,262063000000,0.877,20294490.0,12913.012349657469
AUS,2006,2.0083332061768,257211000000,0.877,20590559.0,12491.695830113209
AUS,2007,2.0083332061768,260425000000,0.88,20954549.0,12428.089003490364
AUS,2008,2.2583332061768,261871000000,0.888,21370589.0,12253.803580238242
AUS,2009,2.6875,260704000000,0.888,21783011.0,11968.2260638807
AUS,2010,2.5041666030884,262203000000,0.897,22141580.0,11842.108828728573
AUS,2011,3.3375000953674,264727000000,0.902,22479775.0,11776.229966714525
AUS,2012,3.7208333015442,266908000000,0.902,22852644.0,11679.52382227632
AUS,2013,4.0708332061768,272322000000,0.86,23236270.0,11719.69511457734
AUS,2014,2.6708333492279,276500000000,0.85,23595601.0,11718.28596355736
AUS,2015,3.1708333492279,279583000000,0.866,23948002.0,11674.585629314714
BEL,1993,0.77083331346512,86854000000,0.876,10084930.0,8612.25610886739
BEL,1994,0.77083331346512,89477000000,0.876,10116006.0,8845.091630036597
BEL,1995,0.77083331346512,91158000000,0.881,10137265.0,8992.36628419993
BEL,1996,0.77083331346512,92416000000,0.882,10156970.0,9098.776505197908
BEL,1997,0.77083331346512,94033000000,0.882,10181464.0,9235.705199173713
BEL,1998,0.77083331346512,99280000000,0.882,10203182.0,9730.297861980704
BEL,1999,0.77083331346512,102830000000,0.883,10226682.0,10055.069669713012
BEL,2000,0.85416668653488,106130000000,0.885,10251717.0,10352.412186173302
BEL,2001,1.1041666269302,108000000000,0.885,10287004.0,10498.683581730891
BEL,2002,1.2124999761581,109420000000,0.885,10332973.0,10589.401520743353
BEL,2003,1.1708333492279,108380000000,0.886,10376260.0,10444.996559453984
BEL,2004,1.9833333492279,109690000000,0.864,10421292.0,10525.566311739465
BEL,2005,2.4458332061768,109420000000,0.881,10478886.0,10441.94964999142
BEL,2006,2.4041666984558,109920000000,0.886,10548442.0,10420.496221148109
BEL,2007,2.2041666507721,112080000000,0.892,10625492.0,10548.217437837231
BEL,2008,2.3375000953674,113010000000,0.898,10709708.0,10552.108423497633
BEL,2009,2.5750000476837,113430000000,0.898,10812936.0,10490.212833961099
BEL,2010,2.5999999046326,109388000000,0.898,10936626.0,10001.987815986393
BEL,2011,2.5333333015442,109970000000,0.898,11038632.0,9962.285181714546
BEL,2012,2.4666666984558,110141000000,0.898,11107518.0,9915.896602643363
CAN,1995,0.5,466000000000,0.839,29459131.0,15818.52499315068
CAN,1996,0.45833331346512,467200000000,0.844,29767206.0,15695.124359336916
CAN,1997,0.64583331346512,468400000000,0.842,30059089.0,15582.641243718332
CAN,1998,0.64583331346512,469600000000,0.84,30329969.0,15483.03593716169
CAN,1999,0.64583331346512,470800000000,0.84,30599456.0,15385.894442044982
CAN,2000,0.89583331346512,472000000000,0.84,30891803.0,15279.13407967803
CAN,2001,0.89583331346512,458000000000,0.837,31213577.0,14673.10202864606
CAN,2002,0.89583331346512,470000000000,0.831,31535577.0,14903.802140674325
CAN,2003,1.5833333730698,463000000000,0.831,31836482.0,14543.064148859161
CAN,2004,1.5833333730698,468000000000,0.83,32132678.0,14564.612386182067
CAN,2005,1.5416666269302,494000000000,0.828,32440173.0,15228.032230284345
CAN,2006,2.1666667461395,493000000000,0.836,32759171.0,15049.220873141143
CAN,2007,3.2708334922791,488000000000,0.838,33092171.000000004,14746.690387886607
CAN,2008,3.3125,477000000000,0.835,33449085.0,14260.479770971313
